
T(C)	R_c(Ohm)	I_d(nA)
81.6	113.9	211
81.2	113.95	205
81	114	200
80.8	114	198
80.5	113.95	195
80.3	113.9	190
80	113.85	186
79.5	113.65	183
79	113.55	176
78.5	113.4	170
78	113.3	164.5
77.5	113.1	159
77	112.9	154.5
76.5	112.75	151
76	112.6	145
75.5	112.4	141
75	112.15	136
74.5	112	131
74	111.85	127
73.5	111.7	123
73	111.5	119
72.5	111.35	115
72	111.2	112
71.5	111.05	109
71	110.8	106
70.5	110.7	102
70	110.5	100
69.5	110.35	96
69	110.15	94
68.5	110	91
68	109.8	88
67.5	109.6	86
67	109.5	83
66.5	109.3	80
66	109.1	79
65.5	108.9	76
65	108.7	74
64.5	108.55	72
64	108.4	70
63	108.05	65
62.5	107.9	64
62	107.7	62
61.5	107.5	60
61	107.35	58
60.5	107.15	57
60	106.95	55
59	106.65	52
58.5	106.5	50
58	106.3	49
57.5	106.1	47
57	105.9	46
56.5	105.7	45
56	105.55	43
55.5	105.4	42
55	105.2	41
54.5	105	40
54	104.8	39
53.5	104.7	38
52.5	104.3	36
52	104.15	35
51.5	103.9	34
51	103.8	33
50.5	103.6	32
50	103.4	31
49.7	103.3	30
49.5	103.2	30
49.1	103.1	29
48.7	102.9	28
48.5	102.85	28
48.2	102.75	28
47.6	102.5	27
47.3	102.4	27
47	102.3	26
46.7	102.2	26
46.3	102.05	25
46	101.9	25
45.6	101.8	24
45.3	101.7	24
45	101.5	23
44.7	101.45	23
44.4	101.35	22
44.1	101.25	22
43.8	101.1	22
43.5	101	21.5
43.1	100.85	21
42.7	100.7	21
42.4	100.6	20
42.1	100.5	20
41.7	100.3	19
41	100.05	18.5
40	99.7	18
39.5	99.5	17
38.4	99.1	16.5
37.6	98.8	15.5
36.8	98.5	15
35.8	98.1	14
35.2	97.9	14
33.9	97.35	13
33.4	97.3	13
32.1	96.8	12
31.2	96.45	11.5
