V;R / ohm
0;34.337
0.001;34.387
0.003;34.412
0.005;34.436
0.007;34.485
0.009;34.51
0.012;34.534
0.016;34.583
0.018;34.608
0.024;34.632
0.028;34.656
0.034;34.681
0.041;34.729
0.048;34.754
0.052;34.778
0.058;34.802
0.068;34.826
0.074;34.85
0.081;34.874
0.088;34.898
0.098;34.946
0.104;34.97
0.115;34.994
0.121;35.018
0.131;35.042
0.141;35.09
0.152;35.114
0.17;35.185
0.19;35.256
0.21;35.35
0.232;35.444
0.249;35.561
0.259;35.608
0.272;35.678
0.279;35.724
0.291;35.793
0.311;35.931
0.325;36.045
0.337;36.158
0.347;36.226
0.36;36.36
0.37;36.472
0.386;36.65
0.395;36.782
0.403;36.891
0.41;37
0.419;37.151
0.425;37.281
0.431;37.43
0.441;37.641
0.451;37.933
0.46;38.242
0.469;38.606
0.478;38.963
0.487;39.391
0.494;39.79
0.5;40.163
0.506;40.528
0.514;41.027
0.52;41.512
0.53;42.363
