V;R / ohm;;;;;;
0.518;41.11;;;;;;
0.498;39.679;;;;;;
0.491;39.311;;;;;;
0.483;38.883;;;;;;
0.48;38.72;;;;;;
0.472;38.372;;;;;;
0.467;38.187;;;;;;
0.462;37.941;;;;;;
0.454;37.698;;;;;;
0.448;37.476;;;;;;
0.437;37.18;;;;;;
0.422;36.796;;;;;;
0.404;36.473;;;;;;
0.382;36.172;;;;;;
0.37;36.02;;;;;;
0.357;35.784;;;;;;
0.326;35.589;;;;;;
0.301;35.406;;;;;;
0.273;35.224;;;;;;
0.243;35.038;;;;;;
0.208;34.862;;;;;;
0.198;34.818;;;;;;
0.185;34.768;;;;;;
0.176;34.724;;;;;;
0.166;34.688;;;;;;
0.155;34.652;;;;;;
0.145;34.617;;;;;;
0.136;34.588;;;;;;
0.128;34.56;;;;;;
0.119;34.531;;;;;;
0.109;34.496;;;;;;
0.099;34.467;;;;;;
0.094;34.446;;;;;;
0.089;34.432;;;;;;
0.084;34.418;;;;;;
0.077;34.397;;;;;;
0.072;34.383;;;;;;
0.068;34.369;;;;;;
0.062;34.348;;;;;;
0.058;34.334;;;;;;
0.056;34.327;;;;;;
0.052;34.313;;;;;;
0.048;34.299;;;;;;
0.044;34.285;;;;;;
0.039;34.257;;;;;;
0.036;34.25;;;;;;
0.033;34.236;;;;;;
0.03;34.215;;;;;;
0.027;34.202;;;;;;
0.024;34.195;;;;;;
0.022;34.174;;;;;;
0.019;34.16;;;;;;
0.017;34.147;;;;;;
0.016;34.14;;;;;;
0.015;34.133;;;;;;
0.013;34.126;;;;;;
0.011;34.105;;;;;;
0.009;34.085;;;;;;
0.007;34.071;;;;;;
0.006;34.058;;;;;;
0.005;34.044;;;;;;
0.004;34.037;;;;;;
0.003;34.024;;;;;;
0.002;34.003;;;;;;
0.001;33.963;;;;;;
0;33.929;;;;;;
0;30.242;;;;;;
