Ib(A)	Up(V)	Uh(mV)
0.04	0.731	2.29
0.14	0.731	4.174
0.27	0.731	6.763
0.38	0.733	8.946
0.4	0.733	9.49
0.48	0.733	11.015
0.52	0.734	11.85
0.54	0.733	12.24
0.59	0.735	13.14
0.63	0.735	14.065
0.68	0.736	15
0.75	0.137	16.34
0.82	0.738	17.68
0.87	0.738	18.763
0.92	0.74	19.63
1	0.741	21.4
1.09	0.743	22.806
1.13	0.744	23.629
1.17	0.744	24.27
1.23	0.746	25.312
1.26	0.746	25.74
1.3	0.747	26.4
1.35	0.748	27.314
1.41	0.749	28.22
1.45	0.75	28.933
1.52	0.752	30
1.54	0.752	30.325
1.61	0.754	31.64
1.66	0.755	32.262
1.69	0.756	32.567
1.74	0.757	33.273
1.76	0.758	33.57
1.82	0.759	34.4
