Uh(mV);V(mV);T(K);T(C)
3.589;620;372;99
4.179;638;371;98
4.409;642;370;97
4.879;658;369;96
5.312;669;368;95
5.845;687;367;94
6.288;695;366;93
6.899;692;365;92
7.131;715;364;91
7.856;731;363;90
8.169;738;362;89
8.648;747;361;88
9.186;757;360;87
9.783;767;359;86
10.212;776;358;85
11;788;357;84
11.309;791;356;83
11.81;801;355;82
12.359;808;354;81
12.86;815;353;80
13.091;817;352;79
13.708;824;351;78
14.058;827;350;77
14.444;827;349;76
14.889;835;348;75
15.422;838;347;74
15.698;840;346;73
16.052;842;345;72
16.198;842;344;71
16.753;844;343;70
16.974;844;342;69
17.025;845;341;68
17.38;843;340;67
17.715;842;339;66
17.883;842;338;65
18.101;839;337;64
18.208;839;336;63
18.484;835;335;62
18.579;833;334;61
18.802;829;333;60
18.883;829;332;59
19.043;823;331;58
19.073;822;330;57
19.223;817;329;56
19.269;815;328;55
19.323;807;327;54
19.443;806;326;53
19.525;801;325;52
19.557;797;324;51
19.643;793;323;50
19.678;789;322;49
19.735;784;321;48
19.744;779;320;47
19.798;775;319;46
19.823;770;318;45
19.853;763;317;44
19.863;760;316;43
19.893;753;315;42
19.883;757;314;41
19.926;744;313;40
19.933;742;312;39
19.943;736;311;38
19.931;737;310;37
19.951;729;309;36
19.947;725;308;35
19.945;716;307;34
19.959;712;306;33
19.953;706;305;32
19.939;704;304;31
