Ip(mA)	Uh(mV)	Vp(V)
-20	-30.642	-1.023
-19	-29.67	-0.99
-18	-27.8	-0.929
-17	-26.88	-0.898
-16	-25.642	-0.857
-15	-24.578	-0.821
-14	-23.366	-0.78
-13	-21.405	-0.714
-12	-20.218	-0.674
-11	-18.777	-0.627
-10	-17.53	-0.585
-9	-15.875	-0.529
-8	-14.678	-0.489
-7	-13.052	-0.434
-6	-12.15	-0.404
-5	-10.471	-0.348
-4	-9.328	-0.309
-3	-8.457	-0.28
-2	-6.83	-0.225
-1	-5.14	-0.169
0	-2.823	-0.091
1	-0.473	-0.012
2	0.0612	0.02
3	1.922	0.064
4	4.164	0.139
5	4.753	0.159
6	5.871	0.197
7	7.668	0.257
8	9.294	0.313
9	10.552	0.356
10	11.855	0.399
11	12.594	0.425
12	14.055	0.474
13	15.348	0.518
14	16.746	0.566
15	18.289	0.618
16	19.589	0.663
17	20.753	0.703
18	22.13	0.75
19	23.36	0.793
20	25.045	0.85
