waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	0.000100

time	Y[0]
01-01-1904  00:00:00.000000	6.044040E-1
01-01-1904  00:00:00.000100	6.107787E-1
01-01-1904  00:00:00.000200	6.069539E-1
01-01-1904  00:00:00.000300	6.107787E-1
01-01-1904  00:00:00.000400	6.107787E-1
01-01-1904  00:00:00.000500	6.056789E-1
01-01-1904  00:00:00.000600	6.069539E-1
01-01-1904  00:00:00.000700	6.044040E-1
01-01-1904  00:00:00.000800	6.082288E-1
01-01-1904  00:00:00.000900	6.069539E-1
01-01-1904  00:00:00.001000	6.120536E-1
01-01-1904  00:00:00.001100	6.158784E-1
01-01-1904  00:00:00.001200	6.120536E-1
01-01-1904  00:00:00.001300	6.171534E-1
01-01-1904  00:00:00.001400	6.133286E-1
01-01-1904  00:00:00.001500	6.158784E-1
01-01-1904  00:00:00.001600	6.095037E-1
01-01-1904  00:00:00.001700	6.107787E-1
01-01-1904  00:00:00.001800	6.069539E-1
01-01-1904  00:00:00.001900	6.107787E-1
01-01-1904  00:00:00.002000	6.107787E-1
01-01-1904  00:00:00.002100	6.095037E-1
01-01-1904  00:00:00.002200	6.107787E-1
01-01-1904  00:00:00.002300	6.095037E-1
01-01-1904  00:00:00.002400	6.120536E-1
01-01-1904  00:00:00.002500	6.158784E-1
01-01-1904  00:00:00.002600	6.133286E-1
01-01-1904  00:00:00.002700	6.146035E-1
01-01-1904  00:00:00.002800	6.107787E-1
01-01-1904  00:00:00.002900	6.133286E-1
01-01-1904  00:00:00.003000	6.133286E-1
01-01-1904  00:00:00.003100	6.158784E-1
01-01-1904  00:00:00.003200	6.095037E-1
01-01-1904  00:00:00.003300	6.158784E-1
01-01-1904  00:00:00.003400	6.107787E-1
01-01-1904  00:00:00.003500	6.146035E-1
01-01-1904  00:00:00.003600	6.095037E-1
01-01-1904  00:00:00.003700	6.158784E-1
01-01-1904  00:00:00.003800	6.133286E-1
01-01-1904  00:00:00.003900	6.158784E-1
01-01-1904  00:00:00.004000	6.082288E-1
01-01-1904  00:00:00.004100	6.158784E-1
01-01-1904  00:00:00.004200	6.120536E-1
01-01-1904  00:00:00.004300	6.158784E-1
01-01-1904  00:00:00.004400	6.158784E-1
01-01-1904  00:00:00.004500	6.133286E-1
01-01-1904  00:00:00.004600	6.197033E-1
01-01-1904  00:00:00.004700	6.158784E-1
01-01-1904  00:00:00.004800	6.184283E-1
01-01-1904  00:00:00.004900	6.158784E-1
01-01-1904  00:00:00.005000	6.171534E-1
01-01-1904  00:00:00.005100	6.158784E-1
01-01-1904  00:00:00.005200	6.120536E-1
01-01-1904  00:00:00.005300	6.120536E-1
01-01-1904  00:00:00.005400	6.107787E-1
01-01-1904  00:00:00.005500	6.107787E-1
01-01-1904  00:00:00.005600	6.107787E-1
01-01-1904  00:00:00.005700	6.107787E-1
01-01-1904  00:00:00.005800	6.133286E-1
01-01-1904  00:00:00.005900	6.120536E-1
01-01-1904  00:00:00.006000	6.146035E-1
01-01-1904  00:00:00.006100	6.107787E-1
01-01-1904  00:00:00.006200	6.133286E-1
01-01-1904  00:00:00.006300	6.120536E-1
01-01-1904  00:00:00.006400	6.146035E-1
01-01-1904  00:00:00.006500	6.158784E-1
01-01-1904  00:00:00.006600	6.184283E-1
01-01-1904  00:00:00.006700	6.158784E-1
01-01-1904  00:00:00.006800	6.222531E-1
01-01-1904  00:00:00.006900	6.209782E-1
01-01-1904  00:00:00.007000	6.248030E-1
01-01-1904  00:00:00.007100	6.197033E-1
01-01-1904  00:00:00.007200	6.260780E-1
01-01-1904  00:00:00.007300	6.197033E-1
01-01-1904  00:00:00.007400	6.197033E-1
01-01-1904  00:00:00.007500	6.197033E-1
01-01-1904  00:00:00.007600	6.184283E-1
01-01-1904  00:00:00.007700	6.197033E-1
01-01-1904  00:00:00.007800	6.273529E-1
01-01-1904  00:00:00.007900	6.248030E-1
01-01-1904  00:00:00.008000	6.197033E-1
01-01-1904  00:00:00.008100	6.222531E-1
01-01-1904  00:00:00.008200	6.146035E-1
01-01-1904  00:00:00.008300	6.158784E-1
01-01-1904  00:00:00.008400	6.171534E-1
01-01-1904  00:00:00.008500	6.158784E-1
01-01-1904  00:00:00.008600	6.171534E-1
01-01-1904  00:00:00.008700	6.158784E-1
01-01-1904  00:00:00.008800	6.197033E-1
01-01-1904  00:00:00.008900	6.197033E-1
01-01-1904  00:00:00.009000	6.197033E-1
01-01-1904  00:00:00.009100	6.133286E-1
01-01-1904  00:00:00.009200	6.171534E-1
01-01-1904  00:00:00.009300	6.133286E-1
01-01-1904  00:00:00.009400	6.133286E-1
01-01-1904  00:00:00.009500	6.133286E-1
01-01-1904  00:00:00.009600	6.146035E-1
01-01-1904  00:00:00.009700	6.133286E-1
01-01-1904  00:00:00.009800	6.133286E-1
01-01-1904  00:00:00.009900	6.133286E-1
01-01-1904  00:00:00.010000	6.158784E-1
01-01-1904  00:00:00.010100	6.107787E-1
01-01-1904  00:00:00.010200	6.133286E-1
01-01-1904  00:00:00.010300	6.095037E-1
01-01-1904  00:00:00.010400	6.146035E-1
01-01-1904  00:00:00.010500	6.107787E-1
01-01-1904  00:00:00.010600	6.146035E-1
01-01-1904  00:00:00.010700	6.146035E-1
01-01-1904  00:00:00.010800	6.133286E-1
01-01-1904  00:00:00.010900	6.146035E-1
01-01-1904  00:00:00.011000	6.133286E-1
01-01-1904  00:00:00.011100	6.146035E-1
01-01-1904  00:00:00.011200	6.158784E-1
01-01-1904  00:00:00.011300	6.260780E-1
01-01-1904  00:00:00.011400	6.222531E-1
01-01-1904  00:00:00.011500	6.248030E-1
01-01-1904  00:00:00.011600	6.197033E-1
01-01-1904  00:00:00.011700	6.197033E-1
01-01-1904  00:00:00.011800	6.171534E-1
01-01-1904  00:00:00.011900	6.095037E-1
01-01-1904  00:00:00.012000	6.197033E-1
01-01-1904  00:00:00.012100	6.158784E-1
01-01-1904  00:00:00.012200	6.235281E-1
01-01-1904  00:00:00.012300	6.260780E-1
01-01-1904  00:00:00.012400	6.248030E-1
01-01-1904  00:00:00.012500	6.235281E-1
01-01-1904  00:00:00.012600	6.248030E-1
01-01-1904  00:00:00.012700	6.273529E-1
01-01-1904  00:00:00.012800	6.235281E-1
01-01-1904  00:00:00.012900	6.248030E-1
01-01-1904  00:00:00.013000	6.222531E-1
01-01-1904  00:00:00.013100	6.133286E-1
01-01-1904  00:00:00.013200	6.197033E-1
01-01-1904  00:00:00.013300	6.171534E-1
01-01-1904  00:00:00.013400	6.235281E-1
01-01-1904  00:00:00.013500	6.235281E-1
01-01-1904  00:00:00.013600	6.248030E-1
01-01-1904  00:00:00.013700	6.235281E-1
01-01-1904  00:00:00.013800	6.235281E-1
01-01-1904  00:00:00.013900	6.171534E-1
01-01-1904  00:00:00.014000	6.171534E-1
01-01-1904  00:00:00.014100	6.146035E-1
01-01-1904  00:00:00.014200	6.184283E-1
01-01-1904  00:00:00.014300	6.171534E-1
01-01-1904  00:00:00.014400	6.260780E-1
01-01-1904  00:00:00.014500	6.248030E-1
01-01-1904  00:00:00.014600	6.299028E-1
01-01-1904  00:00:00.014700	6.248030E-1
01-01-1904  00:00:00.014800	6.235281E-1
01-01-1904  00:00:00.014900	6.209782E-1
01-01-1904  00:00:00.015000	6.146035E-1
01-01-1904  00:00:00.015100	6.171534E-1
