Pixel,Wavelength (nm),Intensity (a.u.)
Pixel,Wavelength,Intensity
0,344.4,685
1,344.867,686.333
2,345.334,684.667
3,345.801,682.75
4,346.268,683.917
5,346.735,684.167
6,347.202,684.667
7,347.669,683.5
8,348.135,681.917
9,348.602,680.5
10,349.068,680.417
11,349.535,681.667
12,350.001,682.333
13,350.467,681.583
14,350.933,683.167
15,351.399,687.417
16,351.866,687.083
17,352.331,686.75
18,352.797,688.417
19,353.263,688.167
20,353.729,685.5
21,354.194,684.583
22,354.66,686.083
23,355.126,685.333
24,355.591,683.833
25,356.056,683.75
26,356.522,682.917
27,356.987,682.583
28,357.452,684.583
29,357.917,687.917
30,358.382,689.917
31,358.847,689.25
32,359.312,687.5
33,359.776,686.25
34,360.241,685.583
35,360.706,685.5
36,361.17,685.667
37,361.634,683.917
38,362.099,682.833
39,362.563,684.833
40,363.027,685.833
41,363.491,687.25
42,363.955,688.75
43,364.419,688
44,364.883,686.917
45,365.347,686.083
46,365.811,685.833
47,366.274,686
48,366.738,686.5
49,367.201,686.583
50,367.665,684.75
51,368.128,684
52,368.592,684.25
53,369.055,685.917
54,369.518,686.417
55,369.981,685.917
56,370.444,685.833
57,370.907,683.667
58,371.37,683.083
59,371.832,685.333
60,372.295,688.25
61,372.757,689.5
62,373.22,687.583
63,373.682,687.333
64,374.145,687.75
65,374.607,687.833
66,375.069,688.25
67,375.531,686.75
68,375.993,683.5
69,376.455,681.833
70,376.917,682
71,377.379,682
72,377.841,682.667
73,378.302,683.083
74,378.764,685.75
75,379.225,688.5
76,379.687,688.833
77,380.148,688.667
78,380.609,689.25
79,381.071,689.417
80,381.532,686.833
81,381.993,684.417
82,382.454,682.833
83,382.915,684.917
84,383.375,687
85,383.836,686.583
86,384.297,686.917
87,384.757,688
88,385.218,688.167
89,385.678,687.667
90,386.138,688.417
91,386.599,689.25
92,387.059,687.833
93,387.519,684.917
94,387.979,681.333
95,388.439,681.5
96,388.899,683.333
97,389.358,684.417
98,389.818,685.25
99,390.278,685.333
100,390.737,687.667
101,391.197,688.167
102,391.656,687.083
103,392.115,688
104,392.575,687.333
105,393.034,685.5
106,393.493,684.75
107,393.952,686.5
108,394.411,689.167
109,394.87,689.667
110,395.328,687.583
111,395.787,688.417
112,396.246,688.417
113,396.704,688.167
114,397.163,689.333
115,397.621,688.917
116,398.079,686.583
117,398.537,685.917
118,398.995,686.333
119,399.454,686.333
120,399.911,687.417
121,400.369,687.5
122,400.827,685.833
123,401.285,686.333
124,401.743,686.5
125,402.2,685.833
126,402.658,686
127,403.115,685.25
128,403.572,683.5
129,404.03,684.667
130,404.487,686.333
131,404.944,685.583
132,405.401,685.583
133,405.858,684.75
134,406.315,683.5
135,406.771,681.25
136,407.228,681.25
137,407.685,683.333
138,408.141,686.917
139,408.598,685.833
140,409.054,682.583
141,409.51,683.75
142,409.967,684.333
143,410.423,683.333
144,410.879,685
145,411.335,686.25
146,411.791,687.5
147,412.246,689.25
148,412.702,688.083
149,413.158,685.833
150,413.613,685.417
151,414.069,685.25
152,414.524,682.417
153,414.98,682.75
154,415.435,683.583
155,415.89,684
156,416.345,686.333
157,416.8,687
158,417.255,687
159,417.71,688.5
160,418.165,688.333
161,418.619,685.167
162,419.074,684.417
163,419.529,686.583
164,419.983,687.667
165,420.437,685.833
166,420.892,685.417
167,421.346,685.583
168,421.8,686
169,422.254,686.917
170,422.708,686.083
171,423.162,684.75
172,423.616,685.083
173,424.07,686.417
174,424.523,687.083
175,424.977,688.667
176,425.43,688.167
177,425.884,684.583
178,426.337,683.25
179,426.79,681.75
180,427.243,681.25
181,427.697,682.667
182,428.15,683.667
183,428.602,685.917
184,429.055,687.25
185,429.508,687.917
186,429.961,687.75
187,430.413,684.667
188,430.866,681.917
189,431.318,680.833
190,431.771,682
191,432.223,682.75
192,432.675,682.917
193,433.127,683
194,433.579,684
195,434.031,685.667
196,434.483,685.917
197,434.935,686.583
198,435.387,686.083
199,435.838,684.333
200,436.29,683.167
201,436.741,684
202,437.193,683.25
203,437.644,683.167
204,438.095,685.167
205,438.546,683.583
206,438.997,681.917
207,439.448,683.083
208,439.899,684.583
209,440.35,685.5
210,440.801,685.333
211,441.251,686
212,441.702,685.583
213,442.152,686.083
214,442.603,685.917
215,443.053,686.5
216,443.503,687.083
217,443.954,687.583
218,444.404,688.083
219,444.854,687.917
220,445.304,687.75
221,445.753,688.333
222,446.203,687.833
223,446.653,685.25
224,447.102,683.667
225,447.552,683.25
226,448.001,682.583
227,448.451,682.917
228,448.9,681.083
229,449.349,679.083
230,449.798,680.5
231,450.247,682.75
232,450.696,685.25
233,451.145,686.333
234,451.594,686.25
235,452.042,686.25
236,452.491,685.667
237,452.939,685.167
238,453.388,686.833
239,453.836,688
240,454.285,686.667
241,454.733,686
242,455.181,685.833
243,455.629,686.333
244,456.077,685.917
245,456.525,686.083
246,456.972,686.833
247,457.42,687.75
248,457.868,688.833
249,458.315,688.083
250,458.763,687.583
251,459.21,689.25
252,459.657,689.75
253,460.104,689.083
254,460.552,686.583
255,460.999,685.083
256,461.446,686.083
257,461.892,686.417
258,462.339,686.417
259,462.786,685.917
260,463.233,684.75
261,463.679,686.583
262,464.125,688.417
263,464.572,688.583
264,465.018,688.417
265,465.464,687.75
266,465.91,687.917
267,466.356,688.25
268,466.802,689.75
269,467.248,689.25
270,467.694,688.75
271,468.14,689.333
272,468.585,688.917
273,469.031,689
274,469.476,688.333
275,469.922,687.833
276,470.367,688
277,470.812,686.75
278,471.257,685.25
279,471.702,685.167
280,472.147,686.083
281,472.592,688.667
282,473.037,691.333
283,473.482,690
284,473.926,688.5
