time,Y
0.000000,0.5725305
0.000022,0.5699806
0.000044,0.5699806
0.000066,0.5699806
0.000088,0.5699806
0.000111,0.5674307
0.000133,0.5750803
0.000155,0.5699806
0.000177,0.5699806
0.000199,0.5699806
0.000222,0.5699806
0.000244,0.5725305
0.000266,0.5687056
0.000288,0.5725305
0.000310,0.5699806
0.000333,0.5674307
0.000355,0.5687056
0.000377,0.5738054
0.000399,0.5674307
0.000421,0.5750803
0.000444,0.5674307
0.000466,0.5699806
0.000488,0.5687056
0.000510,0.5687056
0.000533,0.5738054
0.000555,0.5674307
0.000577,0.5801801
0.000599,0.559781
0.000621,0.5776302
0.000644,0.5687056
0.000666,0.5725305
0.000688,0.5712555
0.000710,0.5725305
0.000732,0.5725305
0.000755,0.5699806
0.000777,0.5712555
0.000799,0.5699806
0.000821,0.5699806
0.000843,0.5648808
0.000866,0.5763553
0.000888,0.5661558
0.000910,0.5776302
0.000932,0.5687056
0.000954,0.5750803
0.000977,0.5712555
0.000999,0.5738054
0.001021,0.5712555
0.001043,0.5750803
0.001066,0.5623309
0.001088,0.5776302
0.001110,0.5636059
0.001132,0.5763553
0.001154,0.5648808
0.001177,0.5725305
0.001199,0.5661558
0.001221,0.5789052
0.001243,0.559781
0.001265,0.5763553
0.001288,0.5648808
0.001310,0.5738054
0.001332,0.5674307
0.001354,0.5712555
0.001376,0.5687056
0.001399,0.5699806
0.001421,0.5623309
0.001443,0.5750803
0.001465,0.5636059
0.001487,0.5750803
0.001510,0.5648808
0.001532,0.5725305
0.001554,0.5699806
0.001576,0.5789052
0.001599,0.5636059
0.001621,0.5750803
0.001643,0.5699806
0.001665,0.5699806
0.001687,0.5712555
0.001710,0.5699806
0.001732,0.5738054
0.001754,0.5750803
0.001776,0.5636059
0.001798,0.5763553
0.001821,0.5674307
0.001843,0.5738054
0.001865,0.5687056
0.001887,0.5725305
0.001909,0.5699806
0.001932,0.5763553
0.001954,0.5648808
0.001976,0.5699806
0.001998,0.5725305
0.002020,0.5687056
0.002043,0.5738054
0.002065,0.5674307
0.002087,0.5750803
0.002109,0.5699806
0.002132,0.5725305
0.002154,0.5699806
0.002176,0.5648808
0.002198,0.5763553
0.002220,0.5661558
0.002243,0.5763553
0.002265,0.5687056
0.002287,0.5738054
0.002309,0.5699806
0.002331,0.5738054
0.002354,0.5661558
0.002376,0.5674307
0.002398,0.5725305
0.002420,0.5661558
0.002442,0.5738054
0.002465,0.5687056
0.002487,0.5712555
0.002509,0.5712555
0.002531,0.5738054
0.002553,0.5636059
