depth[mm]	HF [V]	NF [V]	TGC [dB]
-1,4	0,330	0,065	0,017
-1,3	0,482	0,475	0,175
-1,1	0,649	0,446	-0,157
-1,0	0,752	-0,110	-0,157
-0,8	0,731	-0,620	0,437
-0,7	0,604	-0,624	0,630
-0,6	0,477	-0,382	0,315
-0,4	0,484	-0,366	0,000
-0,3	0,682	-0,413	-0,122
-0,1	0,995	0,052	-0,157
0,0	1,245	0,928	0,000
0,1	1,288	1,236	0,157
0,3	1,123	0,409	0,105
0,4	0,910	-0,683	0,000
0,6	0,844	-0,672	-0,087
0,7	1,002	0,466	-0,035
0,8	1,271	1,238	0,000
1,0	1,437	0,565	0,157
1,1	1,357	-0,770	0,157
1,3	1,080	-1,154	0,000
1,4	0,805	-0,265	0,000
1,5	0,716	0,594	0,000
1,7	0,827	0,308	0,000
1,8	0,976	-0,650	0,157
1,9	0,976	-1,027	0,052
2,1	0,772	-0,496	0,000
2,2	0,488	0,098	0,000
2,4	0,313	0,053	0,000
2,5	0,339	-0,312	0,122
2,6	0,488	-0,303	0,052
2,8	0,595	0,126	0,000
2,9	0,553	0,427	0,000
3,1	0,398	0,310	0,000
3,2	0,260	0,086	0,017
3,3	0,235	0,119	0,000
3,5	0,312	0,336	0,000
3,6	0,397	0,432	0,000
3,8	0,407	0,334	0,000
3,9	0,343	0,238	0,000
4,0	0,274	0,259	0,000
4,2	0,255	0,297	0,000
4,3	0,284	0,235	0,000
4,4	0,305	0,111	0,000
4,6	0,279	0,032	0,000
4,7	0,214	0,019	0,000
4,9	0,156	0,012	0,000
5,0	0,139	-0,020	0,000
5,1	0,152	-0,056	0,000
5,3	0,157	-0,075	0,000
5,4	0,133	-0,075	0,000
5,6	0,092	-0,060	0,000
5,7	0,071	-0,041	0,000
5,8	0,090	-0,050	0,000
6,0	0,131	-0,102	0,000
6,1	0,157	-0,149	0,000
6,3	0,144	-0,121	0,000
6,4	0,106	-0,018	0,000
6,5	0,076	0,066	0,000
6,7	0,078	0,048	0,000
6,8	0,105	-0,048	0,000
6,9	0,127	-0,119	0,000
7,1	0,118	-0,097	0,000
7,2	0,082	-0,018	0,000
7,4	0,046	0,035	0,000
7,5	0,034	0,015	0,000
7,6	0,053	-0,048	0,017
7,8	0,085	-0,083	0,000
7,9	0,103	-0,048	0,017
8,1	0,095	0,028	0,000
8,2	0,068	0,069	0,000
8,3	0,040	0,038	0,000
8,5	0,029	-0,015	0,000
8,6	0,042	-0,007	0,000
8,8	0,074	0,066	0,000
8,9	0,116	0,105	0,000
9,0	0,153	0,030	0,000
9,2	0,177	-0,112	0,000
9,3	0,181	-0,179	0,017
9,5	0,163	-0,102	0,000
9,6	0,130	0,035	0,017
9,7	0,094	0,092	0,000
9,9	0,065	0,035	0,000
10,0	0,051	-0,039	0,000
10,1	0,051	-0,037	0,000
10,3	0,055	0,025	0,000
10,4	0,059	0,058	0,000
10,6	0,057	0,023	0,000
10,7	0,052	-0,033	0,000
10,8	0,047	-0,046	0,000
11,0	0,042	-0,011	0,000
11,1	0,037	0,024	0,000
11,3	0,031	0,031	0,000
11,4	0,026	0,019	0,000
11,5	0,023	0,008	0,000
11,7	0,025	-0,002	0,000
11,8	0,027	-0,017	0,000
12,0	0,028	-0,027	0,017
12,1	0,024	-0,020	0,017
12,2	0,016	-0,002	0,000
12,4	0,008	0,005	0,000
12,5	0,006	-0,003	0,000
12,6	0,009	-0,008	0,000
12,8	0,015	0,005	0,000
12,9	0,021	0,020	0,017
13,1	0,023	0,011	0,000
13,2	0,025	-0,016	0,000
13,3	0,028	-0,027	0,000
13,5	0,032	-0,003	0,000
13,6	0,036	0,031	0,017
13,8	0,037	0,033	0,000
13,9	0,034	0,002	0,000
14,0	0,028	-0,025	0,000
14,2	0,023	-0,016	0,000
14,3	0,022	0,013	0,000
14,5	0,025	0,023	0,000
14,6	0,028	0,003	0,000
14,7	0,028	-0,022	0,000
14,9	0,025	-0,023	0,035
15,0	0,019	-0,004	0,000
15,2	0,014	0,011	0,017
15,3	0,010	0,007	0,000
15,4	0,007	-0,004	0,000
15,6	0,005	-0,006	0,000
15,7	0,005	0,001	0,000
15,8	0,006	0,004	0,000
16,0	0,008	-0,003	0,000
16,1	0,011	-0,011	0,000
16,3	0,012	-0,010	0,000
16,4	0,011	-0,002	0,000
16,5	0,009	0,004	0,017
16,7	0,006	0,004	0,000
16,8	0,006	0,005	0,000
17,0	0,009	0,009	0,000
17,1	0,013	0,013	0,000
17,2	0,016	0,008	0,000
17,4	0,015	-0,003	0,000
17,5	0,012	-0,010	0,000
17,7	0,008	-0,009	0,035
17,8	0,005	-0,004	0,000
17,9	0,004	-0,002	0,017
18,1	0,006	-0,003	0,000
18,2	0,010	0,002	0,000
18,3	0,015	0,014	0,000
18,5	0,021	0,020	0,035
