depth[mm]	HF [V]	NF [V]	TGC [dB]
-2,6	0,446	0,122	0,017
-2,5	0,517	0,404	0,157
-2,4	0,575	0,237	-0,157
-2,2	0,616	-0,369	-0,157
-2,1	0,639	-0,807	0,630
-1,9	0,646	-0,541	0,630
-1,8	0,639	0,236	0,315
-1,7	0,626	0,807	0,000
-1,5	0,611	0,731	-0,157
-1,4	0,603	0,240	-0,017
-1,3	0,608	-0,169	0,000
-1,1	0,630	-0,303	0,315
-1,0	0,670	-0,292	0,175
-0,8	0,728	-0,215	-0,070
-0,7	0,798	0,045	0,000
-0,6	0,872	0,528	-0,035
-0,4	0,943	0,964	0,035
-0,3	0,999	0,951	0,070
-0,1	1,033	0,361	0,000
0,0	1,038	-0,500	0,035
0,1	1,010	-1,127	0,017
0,3	0,950	-1,213	0,105
0,4	0,861	-0,839	0,000
0,6	0,753	-0,347	0,157
0,7	0,633	-0,039	0,000
0,8	0,515	0,025	0,017
1,0	0,408	-0,010	0,122
1,1	0,322	-0,003	0,000
1,3	0,265	0,033	0,000
1,4	0,238	-0,009	0,157
1,5	0,242	-0,173	0,000
1,7	0,272	-0,368	0,070
1,8	0,322	-0,445	0,017
1,9	0,383	-0,329	0,000
2,1	0,445	-0,071	0,070
2,2	0,498	0,205	0,000
2,4	0,537	0,398	0,000
2,5	0,555	0,481	0,052
2,6	0,551	0,486	0,000
2,8	0,523	0,447	0,000
2,9	0,476	0,367	0,017
3,1	0,414	0,240	0,000
3,2	0,343	0,097	0,000
3,3	0,269	-0,003	0,052
3,5	0,199	-0,029	0,000
3,6	0,137	-0,012	0,052
3,8	0,087	-0,006	0,000
3,9	0,051	-0,025	0,000
4,0	0,029	-0,037	0,000
4,2	0,020	-0,020	0,000
4,3	0,021	0,004	0,000
4,4	0,030	0,000	0,017
4,6	0,044	-0,032	0,000
4,7	0,058	-0,059	0,000
4,9	0,071	-0,059	0,000
5,0	0,080	-0,047	0,000
5,1	0,086	-0,050	0,000
5,3	0,086	-0,070	0,000
5,4	0,082	-0,080	0,000
5,6	0,075	-0,063	0,000
5,7	0,066	-0,025	0,000
5,8	0,056	0,009	0,000
6,0	0,046	0,024	0,000
6,1	0,038	0,019	0,000
6,3	0,033	0,004	0,000
6,4	0,029	-0,014	0,000
6,5	0,028	-0,032	0,000
6,7	0,029	-0,045	0,000
6,8	0,031	-0,045	0,000
7,0	0,034	-0,030	0,000
7,1	0,036	-0,006	0,000
7,2	0,038	0,017	0,000
7,4	0,039	0,029	0,000
7,5	0,039	0,027	0,052
7,6	0,038	0,014	0,000
7,8	0,035	-0,004	0,017
7,9	0,032	-0,020	0,000
8,1	0,028	-0,028	0,000
8,2	0,024	-0,023	0,000
8,3	0,020	-0,009	0,000
8,5	0,017	0,005	0,000
8,6	0,015	0,012	0,035
8,8	0,013	0,011	0,000
8,9	0,013	0,008	0,000
9,0	0,013	0,006	0,000
9,2	0,014	0,001	0,017
9,3	0,015	-0,009	0,000
9,5	0,017	-0,019	0,017
9,6	0,018	-0,020	0,000
9,7	0,019	-0,011	0,000
9,9	0,020	0,000	0,000
10,0	0,020	0,008	0,000
10,1	0,020	0,011	0,000
10,3	0,020	0,013	0,000
10,4	0,020	0,015	0,000
10,6	0,019	0,018	0,000
