depth[mm]	HF [V]	NF [V]	TGC [dB]
-1,4	0,334	0,066	0,017
-1,3	0,477	0,475	0,157
-1,1	0,638	0,444	-0,157
-1,0	0,744	-0,111	-0,157
-0,8	0,734	-0,621	0,367
-0,7	0,617	-0,629	0,630
-0,6	0,489	-0,379	0,315
-0,4	0,484	-0,324	0,000
-0,3	0,669	-0,312	-0,157
-0,1	0,976	0,174	-0,157
0,0	1,231	0,988	0,000
0,1	1,277	1,202	0,192
0,3	1,103	0,354	0,140
0,4	0,862	-0,662	0,035
0,6	0,762	-0,588	-0,017
0,7	0,895	0,480	-0,087
0,8	1,161	1,106	0,000
1,0	1,337	0,385	0,157
1,1	1,267	-0,826	0,157
1,3	0,989	-1,060	0,017
1,4	0,709	-0,184	0,000
1,5	0,626	0,514	0,000
1,7	0,767	0,112	0,035
1,8	0,971	-0,795	0,157
1,9	1,026	-1,044	0,105
2,1	0,853	-0,459	0,000
2,2	0,563	0,110	0,000
2,4	0,352	0,069	0,017
2,5	0,334	-0,226	0,070
2,6	0,456	-0,165	0,105
2,8	0,563	0,227	0,000
2,9	0,537	0,451	0,000
3,1	0,397	0,309	0,000
3,2	0,256	0,111	0,035
3,3	0,216	0,152	0,000
3,5	0,277	0,331	0,000
3,6	0,359	0,392	0,000
3,8	0,383	0,307	0,035
3,9	0,339	0,244	0,000
4,0	0,279	0,270	0,000
4,2	0,257	0,286	0,000
4,3	0,275	0,211	0,052
4,4	0,291	0,103	0,000
4,6	0,270	0,044	0,000
4,7	0,217	0,030	0,000
4,9	0,168	0,009	0,035
5,0	0,149	-0,032	0,000
5,1	0,151	-0,064	0,000
5,3	0,147	-0,073	0,017
5,4	0,121	-0,065	0,000
5,6	0,089	-0,050	0,000
5,7	0,080	-0,039	0,000
5,8	0,103	-0,059	0,000
6,0	0,139	-0,111	0,000
6,1	0,153	-0,147	0,000
6,3	0,131	-0,108	0,000
6,4	0,090	-0,011	0,000
6,5	0,062	0,055	0,000
6,7	0,067	0,028	0,000
6,8	0,092	-0,055	0,000
6,9	0,109	-0,104	0,000
7,1	0,097	-0,078	0,000
7,2	0,062	-0,014	0,000
7,4	0,029	0,021	0,000
7,5	0,023	0,002	0,000
7,6	0,044	-0,045	0,000
7,8	0,073	-0,069	0,000
7,9	0,085	-0,039	0,017
8,1	0,072	0,018	0,000
8,2	0,044	0,047	0,000
8,3	0,022	0,022	0,000
8,5	0,021	-0,012	0,000
8,6	0,044	0,009	0,000
8,8	0,082	0,079	0,000
8,9	0,123	0,105	0,000
9,0	0,156	0,023	0,000
9,2	0,174	-0,113	0,000
9,3	0,173	-0,172	0,000
9,5	0,152	-0,097	0,000
9,6	0,118	0,027	0,017
9,7	0,081	0,078	0,000
9,9	0,053	0,029	0,000
10,0	0,040	-0,031	0,000
10,1	0,039	-0,027	0,000
10,3	0,044	0,023	0,000
10,4	0,048	0,047	0,000
10,6	0,047	0,016	0,000
10,7	0,042	-0,028	0,000
10,8	0,037	-0,037	0,000
11,0	0,032	-0,011	0,000
11,1	0,028	0,016	0,000
11,3	0,026	0,025	0,000
