depth[mm]	HF [V]	NF [V]	TGC [dB]
-1,4	0,326	0,062	0,000
-1,3	0,481	0,472	0,175
-1,1	0,651	0,448	-0,157
-1,0	0,754	-0,106	-0,157
-0,8	0,732	-0,619	0,385
-0,7	0,602	-0,626	0,630
-0,6	0,475	-0,382	0,315
-0,4	0,482	-0,372	0,000
-0,3	0,682	-0,442	-0,122
-0,1	0,995	0,003	-0,157
0,0	1,246	0,896	0,000
0,1	1,292	1,249	0,157
0,3	1,136	0,441	0,105
0,4	0,935	-0,687	0,000
0,6	0,883	-0,717	-0,122
0,7	1,052	0,450	-0,087
0,8	1,331	1,304	0,000
1,0	1,504	0,659	0,157
1,1	1,432	-0,757	0,157
1,3	1,165	-1,235	0,017
1,4	0,899	-0,320	0,000
1,5	0,812	0,671	0,000
1,7	0,912	0,462	0,000
1,8	1,040	-0,566	0,157
1,9	1,010	-1,061	0,140
2,1	0,780	-0,546	0,000
2,2	0,487	0,125	0,000
2,4	0,326	0,103	0,017
2,5	0,380	-0,357	0,122
2,6	0,551	-0,441	0,140
2,8	0,658	0,021	0,000
2,9	0,593	0,434	0,000
3,1	0,406	0,358	0,000
3,2	0,250	0,061	0,000
3,3	0,235	0,029	0,000
3,5	0,339	0,290	0,000
3,6	0,446	0,479	0,000
3,8	0,455	0,405	0,000
3,9	0,368	0,245	0,000
4,0	0,268	0,214	0,017
4,2	0,233	0,273	0,000
4,3	0,264	0,255	0,000
4,4	0,298	0,131	0,000
4,6	0,281	0,019	0,000
4,7	0,215	0,000	0,000
4,9	0,151	0,025	0,000
5,0	0,133	0,012	0,000
5,1	0,151	-0,047	0,000
5,3	0,164	-0,095	0,017
5,4	0,141	-0,090	0,000
5,6	0,097	-0,048	0,000
5,7	0,072	-0,025	0,017
5,8	0,091	-0,056	0,017
6,0	0,134	-0,121	0,000
6,1	0,160	-0,152	0,017
6,3	0,143	-0,101	0,017
6,4	0,096	-0,002	0,000
6,5	0,060	0,058	0,000
6,7	0,060	0,027	0,000
6,8	0,088	-0,055	0,000
6,9	0,110	-0,104	0,000
7,1	0,102	-0,076	0,017
7,2	0,069	-0,005	0,000
7,4	0,038	0,034	0,000
7,5	0,038	0,003	0,000
7,6	0,068	-0,067	0,000
7,8	0,106	-0,099	0,000
7,9	0,125	-0,048	0,017
8,1	0,114	0,045	0,000
8,2	0,084	0,089	0,000
8,3	0,055	0,042	0,000
8,5	0,043	-0,028	0,000
8,6	0,053	-0,022	0,000
8,8	0,081	0,061	0,000
8,9	0,117	0,110	0,000
9,0	0,153	0,034	0,000
9,2	0,178	-0,114	0,000
9,3	0,184	-0,182	0,017
9,5	0,167	-0,101	0,000
9,6	0,132	0,037	0,000
9,7	0,093	0,092	0,000
9,9	0,063	0,034	0,000
10,0	0,050	-0,039	0,000
10,1	0,050	-0,035	0,017
10,3	0,055	0,025	0,000
10,4	0,058	0,057	0,000
10,6	0,056	0,023	0,000
10,7	0,051	-0,032	0,000
10,8	0,047	-0,047	0,000
11,0	0,045	-0,016	0,000
11,1	0,043	0,023	0,000
11,3	0,040	0,039	0,000
11,4	0,037	0,032	0,000
11,5	0,035	0,014	0,000
11,7	0,034	-0,007	0,000
11,8	0,033	-0,025	0,000
12,0	0,029	-0,029	0,000
12,1	0,021	-0,016	0,000
12,2	0,012	0,000	0,000
12,4	0,006	0,001	0,000
12,5	0,008	-0,008	0,000
12,6	0,013	-0,007	0,000
12,8	0,020	0,010	0,000
12,9	0,022	0,021	0,000
13,1	0,022	0,008	0,000
13,2	0,022	-0,017	0,000
13,3	0,025	-0,021	0,000
13,5	0,030	0,006	0,000
13,6	0,035	0,033	0,000
13,8	0,036	0,028	0,000
13,9	0,031	-0,004	0,000
14,0	0,025	-0,024	0,000
14,2	0,021	-0,011	0,017
14,3	0,022	0,017	0,017
14,5	0,026	0,023	0,000
14,6	0,028	0,001	0,000
14,7	0,026	-0,021	0,000
14,9	0,021	-0,020	0,035
15,0	0,015	-0,001	0,000
15,2	0,011	0,010	0,000
15,3	0,010	0,002	0,000
15,4	0,011	-0,010	0,000
15,6	0,011	-0,009	0,000
15,7	0,010	0,003	0,017
15,8	0,011	0,009	0,000
16,0	0,012	0,001	0,000
16,1	0,014	-0,012	0,000
16,3	0,014	-0,014	0,000
16,4	0,012	-0,005	0,000
16,5	0,008	0,003	0,052
16,7	0,004	0,002	0,000
16,8	0,004	-0,001	0,000
17,0	0,007	0,003	0,000
17,1	0,012	0,012	0,035
17,2	0,016	0,013	0,000
17,4	0,016	0,004	0,017
17,5	0,013	-0,007	0,000
17,7	0,010	-0,010	0,035
17,8	0,007	-0,006	0,000
17,9	0,006	-0,005	0,000
18,1	0,008	-0,004	0,000
18,2	0,012	0,003	0,000
18,3	0,017	0,016	0,017
18,5	0,022	0,020	0,035
18,6	0,025	0,007	0,017
18,8	0,025	-0,014	0,035
18,9	0,021	-0,022	0,000
19,0	0,016	-0,009	0,017
19,2	0,011	0,006	0,000
19,3	0,009	0,005	0,000
19,5	0,010	-0,008	0,000
19,6	0,014	-0,014	0,000
19,7	0,018	-0,003	0,000
19,9	0,021	0,014	0,017
20,0	0,020	0,019	0,000
20,2	0,017	0,008	0,000
20,3	0,012	-0,005	0,000
20,4	0,008	-0,008	0,035
20,6	0,005	-0,003	0,000
20,7	0,003	0,002	0,017
20,8	0,004	-0,001	0,000
21,0	0,005	-0,006	0,000
21,1	0,007	-0,005	0,000
21,3	0,008	0,001	0,017
21,4	0,008	0,007	0,000
21,5	0,007	0,006	0,017
21,7	0,006	0,000	0,000
21,8	0,005	-0,004	0,000
22,0	0,003	-0,003	0,000
22,1	0,002	-0,001	0,035
22,2	0,001	0,000	0,000
22,4	0,001	0,000	0,000
22,5	0,002	0,001	0,000
22,7	0,004	0,003	0,017
22,8	0,005	0,005	0,000
22,9	0,006	0,003	0,000
23,1	0,005	0,000	0,000
23,2	0,004	-0,002	0,017
