depth[mm]	HF [V]	NF [V]	TGC [dB]
-1,4	0,326	0,064	0,000
-1,3	0,486	0,474	0,157
-1,1	0,656	0,448	-0,157
-1,0	0,757	-0,107	-0,157
-0,8	0,728	-0,617	0,367
-0,7	0,594	-0,620	0,630
-0,6	0,468	-0,380	0,315
-0,4	0,482	-0,390	0,000
-0,3	0,688	-0,485	-0,140
-0,1	1,003	-0,047	-0,157
0,0	1,253	0,868	0,000
0,1	1,299	1,258	0,175
0,3	1,145	0,463	0,140
0,4	0,948	-0,687	0,000
0,6	0,898	-0,742	-0,105
0,7	1,066	0,430	-0,105
0,8	1,341	1,316	0,000
1,0	1,518	0,681	0,157
1,1	1,459	-0,765	0,157
1,3	1,208	-1,274	0,035
1,4	0,955	-0,338	0,000
1,5	0,867	0,713	0,000
1,7	0,956	0,538	0,000
1,8	1,065	-0,520	0,157
1,9	1,019	-1,068	0,087
2,1	0,780	-0,568	0,000
2,2	0,487	0,126	0,000
2,4	0,335	0,109	0,000
2,5	0,408	-0,390	0,140
2,6	0,604	-0,514	0,122
2,8	0,730	-0,033	0,000
2,9	0,665	0,447	0,000
3,1	0,454	0,417	0,000
3,2	0,261	0,101	0,035
3,3	0,217	0,015	0,000
3,5	0,321	0,250	0,000
3,6	0,450	0,468	0,000
3,8	0,483	0,438	0,000
3,9	0,399	0,283	0,000
4,0	0,275	0,210	0,000
4,2	0,206	0,231	0,000
4,3	0,222	0,225	0,000
4,4	0,273	0,153	0,000
4,6	0,291	0,072	0,000
4,7	0,252	0,025	0,000
4,9	0,185	-0,007	0,000
5,0	0,138	-0,040	0,000
5,1	0,125	-0,063	0,000
5,3	0,126	-0,065	0,017
5,4	0,118	-0,055	0,017
5,6	0,098	-0,044	0,000
5,7	0,089	-0,041	0,000
5,8	0,106	-0,064	0,000
6,0	0,139	-0,120	0,000
6,1	0,160	-0,158	0,000
6,3	0,148	-0,115	0,000
6,4	0,116	0,000	0,000
6,5	0,092	0,083	0,000
6,7	0,095	0,047	0,000
6,8	0,120	-0,068	0,000
6,9	0,138	-0,137	0,000
7,1	0,128	-0,092	0,000
7,2	0,094	0,010	0,000
7,4	0,062	0,056	0,000
7,5	0,056	0,004	0,000
7,6	0,080	-0,079	0,000
7,8	0,111	-0,102	0,000
7,9	0,124	-0,038	0,035
8,1	0,108	0,050	0,000
8,2	0,073	0,078	0,000
8,3	0,042	0,032	0,000
8,5	0,030	-0,021	0,000
8,6	0,044	-0,004	0,000
8,8	0,075	0,068	0,000
8,9	0,112	0,097	0,000
9,0	0,146	0,018	0,000
9,2	0,167	-0,113	0,000
9,3	0,171	-0,169	0,017
9,5	0,154	-0,095	0,000
9,6	0,122	0,029	0,000
9,7	0,084	0,080	0,000
9,9	0,053	0,034	0,000
10,0	0,038	-0,027	0,000
10,1	0,037	-0,024	0,000
10,3	0,044	0,026	0,000
10,4	0,051	0,050	0,000
10,6	0,052	0,014	0,000
10,7	0,051	-0,037	0,000
10,8	0,049	-0,046	-0,017
11,0	0,048	-0,008	0,000
11,1	0,046	0,033	0,000
11,3	0,043	0,042	0,017
11,4	0,038	0,025	0,000
11,5	0,033	0,002	0,000
11,7	0,029	-0,015	0,000
11,8	0,026	-0,024	0,017
12,0	0,022	-0,022	0,000
12,1	0,016	-0,009	0,052
12,2	0,010	0,003	0,000
12,4	0,007	0,002	0,000
12,5	0,008	-0,010	0,000
12,6	0,014	-0,009	0,000
12,8	0,020	0,009	0,000
12,9	0,025	0,023	0,000
13,1	0,026	0,009	0,000
13,2	0,027	-0,020	0,000
13,3	0,029	-0,027	0,000
13,5	0,033	0,002	0,000
13,6	0,036	0,032	0,000
13,8	0,035	0,028	0,000
13,9	0,030	-0,005	0,000
14,0	0,023	-0,023	0,000
14,2	0,019	-0,006	0,000
14,3	0,019	0,017	0,000
14,5	0,022	0,015	0,000
14,6	0,024	-0,008	0,000
14,7	0,021	-0,020	0,000
14,9	0,015	-0,011	0,017
15,0	0,007	0,000	0,000
15,2	0,001	0,000	0,000
15,3	0,001	-0,001	0,000
15,4	0,005	0,004	0,000
15,6	0,010	0,005	0,000
15,7	0,013	-0,007	0,017
15,8	0,013	-0,014	0,000
16,0	0,013	0,001	0,017
16,1	0,016	0,015	0,000
16,3	0,024	-0,003	0,000
16,4	0,034	-0,034	0,000
16,5	0,043	-0,020	0,017
16,7	0,050	0,036	0,000
16,8	0,056	0,049	0,000
17,0	0,069	-0,026	0,000
17,1	0,094	-0,091	0,052
17,2	0,135	-0,013	0,000
17,4	0,190	0,165	0,000
17,5	0,252	0,214	0,000
17,7	0,312	-0,006	0,000
17,8	0,364	-0,313	0,000
17,9	0,404	-0,360	0,000
18,1	0,429	-0,042	0,000
18,2	0,438	0,346	0,000
18,3	0,433	0,405	0,000
18,5	0,416	0,071	0,035
18,6	0,393	-0,306	0,017
18,8	0,371	-0,340	0,000
18,9	0,357	-0,013	0,000
19,0	0,355	0,315	0,000
19,2	0,363	0,290	0,000
19,3	0,375	-0,060	0,000
19,5	0,385	-0,363	0,035
19,6	0,387	-0,298	0,000
19,7	0,375	0,056	0,000
19,9	0,350	0,324	0,000
20,0	0,313	0,247	0,000
20,2	0,270	-0,043	0,000
20,3	0,228	-0,218	0,000
20,4	0,192	-0,130	0,000
20,6	0,162	0,063	0,000
20,7	0,137	0,136	0,000
20,8	0,111	0,055	0,000
21,0	0,084	-0,042	0,000
21,1	0,057	-0,058	0,000
21,3	0,035	-0,026	0,000
21,4	0,022	-0,009	0,000
21,5	0,020	-0,006	0,000
21,7	0,025	0,011	0,000
21,8	0,031	0,031	0,000
22,0	0,033	0,020	0,000
22,1	0,030	-0,014	0,000
22,2	0,026	-0,025	0,000
22,4	0,021	-0,002	0,017
22,5	0,020	0,019	0,000
22,7	0,019	0,009	0,000
22,8	0,017	-0,012	0,000
22,9	0,015	-0,011	0,000
23,1	0,012	0,006	0,000
23,2	0,012	0,010	0,000
23,4	0,014	-0,007	0,000
23,5	0,018	-0,018	0,000
23,6	0,021	-0,005	0,000
23,8	0,020	0,015	0,035
23,9	0,017	0,017	0,000
24,0	0,011	0,005	0,000
24,2	0,007	-0,002	0,017
24,3	0,005	0,000	0,017
24,5	0,006	-0,001	0,000
24,6	0,008	-0,008	0,000
24,7	0,010	-0,009	0,000
24,9	0,010	0,000	0,017
25,0	0,010	0,009	0,000
25,2	0,011	0,003	0,000
25,3	0,013	-0,011	0,000
25,4	0,015	-0,015	0,052
25,6	0,016	-0,003	0,000
25,7	0,015	0,010	0,000
25,9	0,011	0,011	0,000
26,0	0,007	0,004	0,000
26,1	0,004	0,000	0,000
26,3	0,004	0,002	0,017
26,4	0,006	0,001	0,000
26,5	0,010	-0,006	0,017
26,7	0,012	-0,011	0,000
26,8	0,012	-0,009	0,017
27,0	0,010	-0,001	0,000
27,1	0,007	0,004	0,017
27,2	0,006	0,005	0,000
27,4	0,005	0,004	0,000
27,5	0,006	0,006	0,000
27,7	0,006	0,006	0,035
27,8	0,006	0,004	0,000
27,9	0,005	0,000	0,017
28,1	0,003	-0,001	0,000
28,2	0,001	0,000	0,000
28,4	0,001	0,001	0,000
28,5	0,001	0,001	0,000
28,6	0,002	0,001	0,000
28,8	0,003	0,002	0,017
28,9	0,005	0,001	0,000
29,1	0,005	-0,002	0,000
29,2	0,005	-0,004	0,000
29,3	0,003	-0,003	0,035
29,5	0,002	-0,001	1,102
29,6	0,001	0,001	3,622
29,7	0,001	0,000	5,669
29,9	0,001	0,001	7,069
30,0	0,001	0,002	7,857
30,2	0,001	0,000	8,346
30,3	0,003	-0,002	8,609
30,4	0,006	0,000	8,784
30,6	0,011	0,009	8,819
30,7	0,017	0,017	8,906
30,9	0,021	0,015	8,976
31,0	0,021	0,003	8,976
31,1	0,018	-0,009	8,976
31,3	0,013	-0,012	8,976
31,4	0,008	-0,007	8,976
31,6	0,007	-0,004	8,976
31,7	0,007	-0,007	8,976
31,8	0,010	-0,011	9,011
32,0	0,012	-0,012	9,046
32,1	0,015	-0,010	9,081
32,2	0,017	-0,003	9,029
32,4	0,020	0,011	9,064
32,5	0,024	0,024	9,081
32,7	0,027	0,022	9,116
32,8	0,030	-0,001	9,081
32,9	0,032	-0,025	9,134
33,1	0,030	-0,027	9,134
33,2	0,025	-0,007	9,134
33,4	0,018	0,012	9,134
33,5	0,013	0,015	9,134
33,6	0,012	0,011	9,134
33,8	0,018	0,014	9,134
33,9	0,028	0,014	9,134
34,1	0,042	-0,011	9,134
34,2	0,056	-0,051	9,134
34,3	0,066	-0,060	9,134
34,5	0,073	-0,011	9,134
34,6	0,076	0,055	9,134
34,8	0,072	0,069	9,134
34,9	0,064	0,016	9,134
35,0	0,054	-0,043	9,134
35,2	0,046	-0,039	9,134
35,3	0,044	0,015	9,134
35,4	0,050	0,049	9,134
35,6	0,059	0,016	9,134
35,7	0,065	-0,045	9,134
35,9	0,064	-0,063	9,134
36,0	0,054	-0,020	9,134
36,1	0,042	0,028	9,134
36,3	0,034	0,026	9,134
36,4	0,035	-0,019	9,151
36,6	0,045	-0,046	9,204
36,7	0,056	-0,017	9,134
36,8	0,064	0,038	9,169
37,0	0,064	0,062	9,134
37,1	0,056	0,030	9,291
37,3	0,044	-0,019	9,204
37,4	0,034	-0,035	9,256
37,5	0,028	-0,007	9,186
37,7	0,029	0,026	9,291
37,8	0,034	0,025	9,274
37,9	0,041	-0,008	9,291
38,1	0,045	-0,039	9,291
38,2	0,043	-0,040	9,291
38,4	0,035	-0,017	9,291
38,5	0,023	0,006	9,291
38,6	0,012	0,011	9,291
38,8	0,007	0,003	9,291
38,9	0,007	-0,002	9,291
39,1	0,011	0,003	9,291
39,2	0,015	0,013	9,291
39,3	0,018	0,018	9,291
39,5	0,018	0,013	9,291
39,6	0,016	0,003	9,291
39,8	0,014	-0,006	9,291
39,9	0,011	-0,011	9,291
40,0	0,009	-0,008	9,291
40,2	0,007	-0,001	9,291
40,3	0,007	0,005	9,291
40,4	0,008	0,006	9,291
40,6	0,009	0,000	9,291
40,7	0,011	-0,009	9,291
40,9	0,011	-0,011	9,309
41,0	0,011	-0,005	9,396
41,1	0,010	0,005	9,291
41,3	0,009	0,009	9,309
41,4	0,009	0,004	9,309
41,6	0,009	-0,005	9,361
41,7	0,009	-0,009	9,379
41,8	0,007	-0,005	9,431
42,0	0,006	0,002	9,449
42,1	0,005	0,005	9,449
42,3	0,006	0,002	9,414
42,4	0,008	-0,003	9,449
42,5	0,009	-0,008	9,449
42,7	0,008	-0,007	9,449
42,8	0,005	-0,003	9,449
43,0	0,003	0,000	9,449
43,1	0,002	0,001	9,449
43,2	0,003	-0,002	9,449
43,4	0,005	-0,005	9,449
43,5	0,007	-0,006	9,449
43,6	0,009	-0,001	9,449
43,8	0,010	0,007	9,449
43,9	0,011	0,011	9,449
44,1	0,013	0,008	9,449
44,2	0,014	-0,001	9,449
44,3	0,014	-0,010	9,449
44,5	0,011	-0,012	9,449
44,6	0,007	-0,006	9,449
44,8	0,004	-0,001	9,449
44,9	0,003	-0,001	9,449
45,0	0,004	-0,004	9,449
45,2	0,005	-0,005	9,466
45,3	0,006	-0,002	9,449
45,5	0,005	0,002	9,554
45,6	0,003	0,002	9,449
45,7	0,002	-0,001	9,536
45,9	0,002	-0,003	9,484
