time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,386	0,065	0,157
0,1	0,542	0,533	0,315
0,2	0,707	0,477	-0,157
0,3	0,797	-0,147	-0,157
0,4	0,753	-0,663	0,472
0,5	0,598	-0,612	0,665
0,6	0,456	-0,345	0,420
0,7	0,468	-0,356	0,105
0,8	0,690	-0,404	0,000
0,9	1,027	0,112	0,000
1,0	1,286	1,002	0,157
1,1	1,311	1,235	0,315
1,2	1,113	0,344	0,157
1,3	0,864	-0,688	0,157
1,4	0,769	-0,576	0,000
1,5	0,899	0,506	-0,017
1,6	1,137	1,057	0,157
1,7	1,274	0,255	0,175
1,8	1,192	-0,911	0,192
1,9	0,960	-0,979	0,157
2,0	0,770	0,021	0,017
2,1	0,765	0,673	0,087
2,2	0,911	0,127	0,157
2,3	1,031	-0,839	0,280
2,4	0,965	-1,006	0,157
2,5	0,714	-0,342	0,105
2,6	0,444	0,151	0,017
2,7	0,334	-0,065	0,157
2,8	0,427	-0,435	0,157
2,9	0,601	-0,270	0,157
3,0	0,679	0,267	0,122
3,1	0,590	0,506	0,140
3,2	0,409	0,273	0,157
3,3	0,277	0,041	0,157
3,4	0,275	0,169	0,157
3,5	0,361	0,433	0,157
3,6	0,431	0,464	0,140
3,7	0,418	0,290	0,157
3,8	0,344	0,211	0,157
3,9	0,282	0,303	0,157
4,0	0,275	0,352	0,157
4,1	0,304	0,227	0,157
4,2	0,316	0,069	0,157
4,3	0,282	0,040	0,157
4,4	0,221	0,083	0,157
4,5	0,174	0,051	0,157
4,6	0,162	-0,052	0,157
4,7	0,167	-0,100	0,157
4,8	0,157	-0,057	0,157
4,9	0,127	-0,014	0,157
5,0	0,095	-0,035	0,157
5,1	0,089	-0,075	0,157
5,2	0,110	-0,085	0,157
5,3	0,134	-0,088	0,157
5,4	0,132	-0,112	0,157
5,5	0,104	-0,110	0,157
5,6	0,073	-0,035	0,157
5,7	0,067	0,053	0,157
5,8	0,090	0,048	0,157
5,9	0,119	-0,052	0,157
6,0	0,128	-0,126	0,157
6,1	0,107	-0,086	0,157
6,2	0,073	0,010	0,157
6,3	0,051	0,043	0,157
6,4	0,054	-0,014	0,157
6,5	0,073	-0,077	0,157
6,6	0,087	-0,070	0,157
6,7	0,081	-0,006	0,157
6,8	0,059	0,043	0,157
6,9	0,034	0,035	0,157
7,0	0,022	-0,008	0,157
7,1	0,031	-0,027	0,157
7,2	0,056	0,014	0,157
7,3	0,090	0,085	0,157
7,4	0,126	0,103	0,157
7,5	0,155	0,019	0,157
7,6	0,171	-0,114	0,140
7,7	0,169	-0,170	0,157
7,8	0,148	-0,092	0,157
7,9	0,115	0,035	0,157
8,0	0,082	0,079	0,157
8,1	0,060	0,016	0,157
8,2	0,053	-0,051	0,157
8,3	0,055	-0,034	0,157
8,4	0,059	0,032	0,157
8,5	0,058	0,055	0,157
8,6	0,053	0,011	0,140
8,7	0,044	-0,036	0,157
8,8	0,035	-0,032	0,157
8,9	0,027	0,001	0,157
9,0	0,022	0,019	0,157
9,1	0,020	0,018	0,140
9,2	0,023	0,020	0,105
9,3	0,030	0,022	0,140
9,4	0,038	0,001	0,157
9,5	0,041	-0,031	0,157
9,6	0,038	-0,037	0,157
9,7	0,029	-0,007	0,157
9,8	0,020	0,017	0,140
9,9	0,016	0,003	0,122
10,0	0,018	-0,021	0,140
10,1	0,024	-0,013	0,157
10,2	0,029	0,018	0,157
10,3	0,029	0,025	0,157
10,4	0,027	-0,004	0,157
10,5	0,026	-0,027	0,157
10,6	0,027	-0,011	0,157
10,7	0,030	0,022	0,157
10,8	0,032	0,029	0,157
10,9	0,029	0,009	0,157
11,0	0,020	-0,009	0,157
11,1	0,010	-0,011	0,157
11,2	0,004	-0,004	0,157
11,3	0,006	0,004	0,157
