time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,462	0,133	0,315
0,1	0,540	0,416	0,472
0,2	0,606	0,243	-0,157
0,3	0,655	-0,376	-0,157
0,4	0,685	-0,834	0,945
0,5	0,698	-0,578	0,945
0,6	0,696	0,230	0,542
0,7	0,684	0,873	0,297
0,8	0,670	0,852	0,000
0,9	0,659	0,343	0,157
1,0	0,659	-0,137	0,315
1,1	0,674	-0,319	0,612
1,2	0,706	-0,299	0,472
1,3	0,755	-0,196	0,157
1,4	0,817	0,061	0,157
1,5	0,884	0,523	0,157
1,6	0,948	0,955	0,315
1,7	1,000	0,961	0,315
1,8	1,031	0,384	0,315
1,9	1,034	-0,482	0,315
2,0	1,007	-1,127	0,315
2,1	0,948	-1,232	0,315
2,2	0,863	-0,872	0,315
2,3	0,757	-0,379	0,315
2,4	0,641	-0,051	0,192
2,5	0,526	0,036	0,315
2,6	0,422	0,003	0,315
2,7	0,338	-0,009	0,175
2,8	0,282	0,016	0,315
2,9	0,257	-0,022	0,315
3,0	0,261	-0,187	0,315
3,1	0,292	-0,398	0,315
3,2	0,342	-0,490	0,315
3,3	0,403	-0,366	0,315
3,4	0,464	-0,089	0,315
3,5	0,517	0,194	0,315
3,6	0,555	0,384	0,280
3,7	0,573	0,475	0,315
3,8	0,566	0,500	0,245
3,9	0,537	0,473	0,315
4,0	0,488	0,387	0,315
4,1	0,424	0,251	0,315
4,2	0,351	0,110	0,315
4,3	0,275	0,015	0,315
4,4	0,202	-0,019	0,315
4,5	0,138	-0,015	0,315
4,6	0,087	-0,009	0,315
4,7	0,050	-0,015	0,315
4,8	0,028	-0,021	0,315
4,9	0,019	-0,011	0,315
5,0	0,021	0,004	0,315
5,1	0,030	0,002	0,315
5,2	0,044	-0,025	0,315
5,3	0,060	-0,056	0,315
5,4	0,073	-0,066	0,315
5,5	0,084	-0,057	0,315
5,6	0,089	-0,054	0,315
5,7	0,089	-0,067	0,315
5,8	0,085	-0,078	0,315
